Transaction_ID,Account_Number,Transaction_Amount,Transaction_Type,Category,Payment_Method,Transaction_Status,Customer_Age,Customer_Income,Account_Balance,transaction_year,transaction_month,transaction_day,transaction_hour,day_of_week,is_weekend,Fraud_Flag
bdd640fb-0667-4ad1-9c80-317fa3b1799d,IUPM04409079772781,3198.94,Debit,Transport,Online Transfer,Failed,55,80466.03,350.28,2023,2023-11,5,15,6,1,0
23b8c1e9-3924-46de-beb1-3b9046685257,BLAT22216107051843,129.93,Credit,Grocery,Debit Card,Pending,26,145574.25,9797.81,2024,2024-04,21,22,6,1,1
bd9c66b3-ad3c-4d6d-9a3d-1fa7bc8960a9,UTXA55295806601382,1378.77,Credit,Shopping,Debit Card,Failed,29,33447.18,12399.85,2023,2023-07,17,13,0,0,1
972a8469-1641-4f82-8b9d-2434e465e150,XICF70493862044851,1119.94,Credit,Healthcare,Online Transfer,Failed,60,108801.45,16057.64,2023,2023-06,27,16,1,0,1
17fc695a-07a0-4a6e-8822-e8f36c031199,KOSW19711121259020,3683.67,Credit,Entertainment,E-Wallet,Failed,29,100985.12,14940.54,2024,2024-03,26,23,1,0,1
9a1de644-815e-46d1-bb8f-aa1837f8a88b,GULO13432406424295,3385.11,Debit,Healthcare,Credit Card,Success,21,102713.53,7768.29,2023,2023-08,6,20,6,1,0
b74d0fb1-32e7-4629-8fad-c1a606cb0fb3,NHGI32447417595587,4461.44,Credit,Savings,Debit Card,Pending,41,63919.32,5437.07,2023,2023-04,20,22,3,0,0
6b65a6a4-8b81-48f6-b38a-088ca65ed389,UVFB96289365435884,439.26,Debit,Transport,Credit Card,Failed,42,72654.64,9680.49,2024,2024-04,15,2,0,0,0
47378190-96da-4dac-b2ff-5d2a386ecbe0,CQYG43740182727955,2112.5,Credit,Entertainment,Debit Card,Failed,26,29735.99,16876.33,2024,2024-07,13,5,5,1,1
c241330b-01a9-471f-9e8a-774bcf36d58b,SMVS05150267551254,153.84,Credit,Clothing,Credit Card,Pending,59,115996.67,9807.13,2023,2023-12,25,7,0,0,0
6c307511-b2b9-437a-a8df-6ec4ce4a2bbd,FORF07979966734595,1097.1,Credit,Housing,Credit Card,Failed,19,25324.03,5842.77,2023,2023-05,29,23,0,0,1
371ecd7b-27cd-4130-8722-9389571aa876,PVMJ03816649690282,2529.25,Credit,Savings,Credit Card,Pending,24,55175.93,3665.73,2023,2023-04,19,11,2,0,0
1a2a73ed-562b-4f79-8374-59eef50bea63,JTWQ39225014257627,137.55,Debit,Electronics,Credit Card,Failed,60,148589.88799999998,10106.47,2025,2025-01,2,18,3,0,1
5be6128e-18c2-4797-a142-ea7d17be3111,AVEG24412336132850,998.19,Debit,Clothing,E-Wallet,Success,65,143043.22,18439.63,2024,2024-05,7,9,1,0,1
43b7a3a6-9a8d-4a03-980d-7b71d8f56413,PFLD78637673162526,3251.17,Credit,Education,Online Transfer,Success,57,93616.21,17492.08,2024,2024-02,21,23,2,0,1
759cde66-bacf-43d0-8b1f-9163ce9ff57f,YKJV69681579039235,2726.98,Credit,Utilities,E-Wallet,Pending,66,92726.84,17397.16,2023,2023-10,16,19,0,0,0
ec1b8ca1-f91e-4d4c-9ff4-9b7889463e85,LKQA99613273034615,1106.1,Credit,Savings,Credit Card,Failed,20,31682.08,15229.59,2024,2024-08,15,11,3,0,1
4b0dbb41-8d52-48f1-942c-3fe860e7a113,MUFN24467046226817,2948.38,Credit,Clothing,Debit Card,Success,22,139730.22,15113.42,2024,2024-07,7,8,6,1,0
e2acf72f-9e57-4f7a-a0ee-89aed453dd32,ZCLV16025298670766,4048.11,Credit,Fitness,Cash,Pending,25,57494.56,9848.73,2024,2024-08,17,0,5,1,0
3139d32c-93cd-49bf-9c94-1cf0dc98d2c1,YBJN41978575851268,51.378,Credit,Savings,E-Wallet,Failed,66,101316.73,17992.35,2024,2024-09,19,23,3,0,0
a9488d99-0bbb-4599-91ce-5dd2b45ed1f0,YMVC20594389760740,4030.07,Debit,Savings,Online Transfer,Success,31,135833.5,6835.16,2024,2024-05,21,15,1,0,0
fc377a4c-4a15-444d-85e7-ce8a3a578a8e,DPOL09546540842456,3492.21,Credit,Healthcare,E-Wallet,Failed,34,130215.04,1897.16,2023,2023-04,24,1,0,0,0
ddd1dfb2-3b98-4ef8-9af6-1a26146d3f31,AOKJ09150863218122,1704.55,Credit,Clothing,Credit Card,Success,52,124054.01,7165.63,2023,2023-10,12,0,3,0,1
7412b293-4729-4739-a14f-f3d719db3ad0,UPNI57938970155029,781.62,Credit,Grocery,Credit Card,Success,37,60739.3,1139.36,2023,2023-11,6,21,0,0,0
29a3b2e9-5d65-4441-9588-42dea2bc372f,XUZD68154660241613,4786.28,Debit,Fitness,Online Transfer,Success,31,65578.6,18154.67,2024,2024-05,24,11,4,0,0
ab9099a4-35a2-40ae-9af3-05535ec42e08,SIJT88305973642480,1686.29,Debit,Savings,Credit Card,Success,32,39467.72,7886.1,2024,2024-12,29,10,6,1,1
aefcfad8-efc8-4849-b3aa-7efe4458a885,TMFV44063062447951,468.27,Credit,Electronics,Online Transfer,Failed,54,148589.88799999998,18717.18,2024,2024-08,10,22,5,1,1
a28defe3-9bf0-4273-9247-6f57a5e5a5ab,HHAW53194979695867,488.1,Debit,Travel,Cash,Pending,24,125764.47,1497.7,2024,2024-07,15,5,0,0,1
3eabedcb-baa8-4dd4-88bd-64072bcfbe01,RAKK55727738264609,4238.23,Credit,Shopping,Credit Card,Failed,30,90436.83,7235.62,2023,2023-06,17,2,5,1,0
451b4cf3-6123-4df7-b656-af7229d4beef,CUPR51385445770299,3020.61,Debit,Entertainment,Debit Card,Failed,32,103187.88,9415.11,2024,2024-03,27,5,2,0,1
b02b61c4-a3d7-4628-ace6-6fa2fd5166e6,FTLS66048736826911,4036.61,Debit,Food,E-Wallet,Failed,59,82841.12,13882.12,2024,2024-02,24,0,5,1,1
5304317f-af42-412f-b838-b3268e944239,MGGD94226865369455,3650.01,Debit,Clothing,Debit Card,Failed,29,107685.38,7359.63,2023,2023-09,1,22,4,0,1
0e51f30d-c6a7-4e39-84b0-32ccd7c524a5,UDVV58886367747226,2683.46,Debit,Shopping,Cash,Pending,41,125258.12,8376.01,2024,2024-09,6,1,4,0,1
ce177b4e-0837-48a3-9261-a7ab3aa2e4f9,JARK72169666309329,4865.71,Credit,Shopping,Credit Card,Failed,29,112682.43,8386.36,2023,2023-12,22,11,4,0,0
10f1bc81-448a-4a9e-a6b2-bc5b50c187fc,TQCT96059329715096,1895.78,Debit,Transport,E-Wallet,Failed,51,131727.89,17206.12,2024,2024-04,9,23,1,0,1
9132b63e-f162-47e4-a9c3-49e03602f8ac,RQGF75327352410397,2762.44,Debit,Clothing,E-Wallet,Failed,42,105596.54,8350.2,2024,2024-06,13,2,3,0,0
366eb16f-508e-4ad7-b7c9-3acfe059a0ee,OHVT73278195237100,4147.88,Credit,Savings,E-Wallet,Failed,25,94591.18,19716.7,2024,2024-01,6,18,5,1,1
e27a984d-6548-41d0-bfcd-9eb1a7cad415,VVNQ76164819807704,3094.51,Credit,Entertainment,Cash,Pending,68,92123.35,17840.58,2023,2023-10,19,6,3,0,1
24933b83-7577-40a9-a491-f0b2ea1fca65,ZMXY05687611249125,4309.23,Debit,Entertainment,Cash,Failed,31,105740.82,19609.04,2024,2024-10,24,8,3,0,0
beb79919-3f22-4af8-a3be-d01d43cf2fde,NVKE37341517734547,2888.87,Credit,Entertainment,Debit Card,Failed,28,26276.12,11356.9,2024,2024-06,21,19,4,0,0
bf3c4c06-4343-48bc-89fa-6a688fb5d27b,KZOW49490228403595,3524.34,Credit,Travel,E-Wallet,Pending,33,38007.74,8469.5,2023,2023-07,25,10,1,0,0
956269f0-e5d7-4875-adad-d6c795a76d79,WJJW29477422294643,233.89,Debit,Fitness,Cash,Failed,64,135083.84,14950.75,2024,2024-03,1,19,4,0,0
ff50bde4-3825-47b8-9cab-cc97663f1c97,AGSJ29045886792529,1143.35,Debit,Food,Credit Card,Success,56,69186.42,7821.39,2023,2023-09,5,22,1,0,0
7e570ddf-8270-40a8-a369-b584ff5e9ff0,QKQL67287276015343,1450.49,Debit,Utilities,Online Transfer,Pending,34,102837.78,8205.91,2024,2024-01,16,17,1,0,1
dc713d96-0c0f-4195-817a-f08a1745d6d8,HEIT13577908335061,403.56,Debit,Transport,Credit Card,Success,39,143576.12,381.6,2023,2023-07,10,1,0,0,0
28f49481-a0a0-4dc4-a720-9bdf1c11f735,KQCI88810798334233,1167.79,Debit,Food,Debit Card,Pending,44,81405.9,11416.62,2023,2023-11,16,15,3,0,1
98ae4334-6c12-4ce8-ae34-0454cac5b68c,WWOF09484131284033,509.5,Debit,Entertainment,Debit Card,Pending,61,127632.03,7472.87,2023,2023-10,12,21,3,0,1
988c24c9-61b1-4d22-a280-1c4510435a10,HSYS77180513717173,1393.48,Debit,Housing,Debit Card,Failed,36,64414.68,2476.43,2024,2024-04,7,9,6,1,0
405cacec-8774-49a9-b7d2-1e02ff01cf99,DRSG97490961739970,3180.24,Debit,Clothing,Online Transfer,Failed,39,92847.79,8325.08,2024,2024-10,17,5,3,0,1
f143262f-dc5c-4eed-8da0-365bf89897b9,IYNT47258784448354,1827.34,Debit,Travel,Online Transfer,Failed,26,134859.09,17286.01,2023,2023-06,3,5,5,1,0
1d53434b-b881-49b9-ae27-0da702f06b90,VRQJ71270587722164,1854.05,Debit,Education,Cash,Success,31,114763.27,1527.85,2024,2024-02,8,18,3,0,1
c0398710-8976-4334-a281-7efdae849217,DOKU82313348458714,1051.49,Credit,Electronics,Debit Card,Success,37,28417.41,4220.3,2024,2024-08,14,11,2,0,0
5715bd6f-a416-4293-84c2-e2e3444ea7c8,TGSV25236229258796,1338.55,Debit,Travel,Debit Card,Failed,29,88209.16,6751.0,2023,2023-12,21,10,3,0,1
287d06ca-6f4c-469a-8b22-d3081c8eaee9,YXIH47452455574696,4683.59,Debit,Utilities,E-Wallet,Success,50,148427.86,19684.7,2023,2023-12,21,20,3,0,0
b8db0672-f42d-47cc-80d4-af5974273ca3,YNAY60652740334450,3241.94,Debit,Healthcare,Online Transfer,Failed,43,80936.7,3828.57,2023,2023-03,11,14,5,1,1
f8cda88b-436d-46e2-b83c-fe0be037e5ed,KNZM58833987411325,3047.61,Credit,Housing,Debit Card,Pending,37,24877.49,5289.9,2023,2023-04,26,9,2,0,1
81f76d1c-2dbc-4134-830f-f46e8026695f,XPXS70673499601054,859.84,Credit,Clothing,Debit Card,Failed,67,135713.81,7491.86,2025,2025-01,2,7,3,0,1
a013ac6e-deda-4e16-9b3d-bd5ce9a1fa6f,RLOJ17215622949381,3646.99,Credit,Transport,Credit Card,Pending,69,122751.49,1585.33,2024,2024-07,10,23,2,0,0
